symbol,ann_returns,ann_vol,ann_daily_variation,ann_max_drawdown,sharpe_ratio,beta,clusters
CHTR,0.06981323281811161,0.16529264904389918,0.25975994810932446,0.3071571029918822,0.6172424718967633,0.32290726760912786,2
CI,0.06435347112764489,0.14661319916234422,0.2427149216917661,0.3131011387150925,0.5606955757390628,0.37878056874888794,2
CINF,0.06514541421056833,0.0637648686298263,0.16285291449150718,0.06916902703797981,0.6294307735758626,0.3073011773273838,0
CL,0.02394711920896661,0.050009634498853484,0.1386766468858372,0.1747443698778256,0.4279178329313192,0.2441114012769451,2
CLX,0.04650692531540507,0.07790728527600915,0.16920627339303623,0.16410428065624133,0.548395894838144,0.1871314172280615,0
CMA,0.04981406586812523,0.1382499651263865,0.2490490936708424,0.36581815759134645,0.4141838031262523,0.4928840797276788,2
CMCSA,0.04288527403586942,0.11463166366105432,0.2170982464192737,0.22906098706778188,0.5321177422989855,0.3716600306746497,2
CME,0.10086696921244051,0.05901107073178405,0.18264995704121542,0.07729220590358438,0.801705940357368,0.18096765199684425,0
CMG,0.11634050401899859,0.2693157114846904,0.2865016664702391,0.4724722711661583,0.6721970367227452,0.29460458878165857,2
CMI,0.04430962517477274,0.10883684432010887,0.20671297779513106,0.28039539141220937,0.5362798895123655,0.5426055201625748,2
CMS,0.06707815709819112,0.012056098525464076,0.1347215812809247,0.10017080182037483,0.755308875796439,0.09877945045234648,0
CNC,0.1319282136976235,0.21048158513681542,0.3051915481783938,0.3848347972543147,0.6713036674506307,0.45056379115001066,2
CNP,0.03974930752440828,0.041239174436606796,0.15990976675642007,0.12894496964697286,0.49905088025621813,0.19404193831400923,2
COF,0.02484139737391447,0.12013852895986221,0.20606941662786374,0.26907099578823607,0.4634107002558071,0.529563243967101,2
COO,0.08829582354926913,0.11395431469157735,0.21367531758905048,0.10356968679991355,0.6880818255922578,0.32191302361940277,0
COP,0.06163982053763195,0.1718891529989912,0.25675352178121513,0.3135297929060645,0.5136980903258743,0.4460418902234217,2
COST,0.09647823362494726,0.07230838199937126,0.1488557471896184,0.15429544081517937,0.7768145096506512,0.3052403319045746,0
CPB,0.006620549090042671,0.1627184958579081,0.2228982057887555,0.4413327022942275,0.31061238123252355,0.18652541796777009,2
CPRT,0.1883476917219051,0.13233282474751068,0.21156840444247652,0.2748437080849427,0.9669757815023018,0.3541137722996246,0
CPT,0.04936827219361456,0.030160657661425366,0.15803101008063022,0.09087224980731498,0.5992547635205694,0.16730054537198635,0
CRL,0.09313510875947306,0.14869501631370424,0.2328164959796941,0.17292567513495144,0.6958990469906228,0.5469617820653336,0
CRM,0.12076524736636887,0.16141279772787953,0.24411896417616455,0.18650372777117513,0.7608831413346246,0.51541414107466,0
CSCO,0.09788255143394559,0.11599031310294872,0.178381496917291,0.18276504675565575,0.6510876289225187,0.5242580965261073,0
CSGP,0.19160126600311164,0.13803337702532986,0.2696856813137163,0.22721152457668037,0.9618580782544219,0.4276221066349324,0
CSX,0.11696401054909025,0.18254924176351384,0.22819830864255272,0.15066988441231383,0.6935659284425442,0.4482382388631549,0
CTAS,0.12530501975775368,0.09404356601907754,0.1674505529861768,0.21322129578480642,0.8588958116093522,0.4167223916635009,0
CTLT,0.10416803791281448,0.20912851182910736,0.2866601582230277,0.32913830770049063,0.6673424706767699,0.4656839265505938,0
CTRA,0.03327547280132376,0.20722509815096757,0.31158651649414404,0.42410421818904465,0.28603232544052604,0.3021792239758838,2
CTSH,0.05074357132436877,0.09634458601343537,0.1768419942510006,0.27302434894975436,0.423884605895253,0.39515928653151944,2
CVS,0.00821774057364763,0.15380126135482042,0.23542069658602235,0.3146513286768473,0.36791693568274814,0.37199086944610094,2
CVX,0.019207573883094103,0.07332744803531063,0.15880406741009204,0.14818274340052,0.4456122249221689,0.35544799916513264,2
CZR,0.19722566274858347,0.33797747013384705,0.4711155619681441,0.30634248392647695,0.7601130617091747,0.6212167940938711,1
D,0.02483723917384545,0.02111844131161944,0.13746028541009142,0.1946425783340917,0.5084807689786639,0.1632929068426867,2
DAL,0.03662919614055801,0.14434134613511285,0.2435714413269718,0.18753954509866033,0.47867105116901787,0.4337952586016334,2
DD,0.03770977766985645,0.17511742094090899,0.23702882882148432,0.37532641191728294,0.27940339856254126,0.47684041288634477,2
DE,0.07742331789843124,0.15258997605206093,0.22206122543662563,0.1638290785010128,0.6399926458591052,0.539061013350787,0
DFS,0.034945940540157844,0.10615014198046685,0.19521133942794225,0.25772692090750665,0.47341597364232685,0.5329146772134636,2
DG,0.11622054512834568,0.1280935587444808,0.20846406793820552,0.11115316269350653,0.7559117407347882,0.2866447366389103,0
DGX,0.029252429365734384,0.07739804359937213,0.16135749341638989,0.25095023695488883,0.4722124497647728,0.30870061768664875,2
DHI,0.10082239202834298,0.16249730571432852,0.27914467536252474,0.3271316803532232,0.684095060509472,0.2670398245330868,0
DHR,0.09256974731474418,0.06364155876678276,0.14874744707430537,0.05408032476661692,0.8001972883159663,0.4084293232709502,0
DIS,0.04796774070230053,0.08003473940524364,0.15265023187095614,0.08075825839016532,0.578536580205709,0.3405473177884143,0
DISH,0.011766511506306032,0.25644006264459795,0.3477439439282456,0.6404707371488502,0.20176231536767247,0.4997724604996283,1
DLR,0.04978968721731819,0.09981358695635972,0.2053986403478736,0.14303958736458575,0.5252839032420523,0.21661740490681497,0
DLTR,0.05209598211860933,0.19760781630404817,0.25517783151034723,0.26661008816757836,0.4517460295047179,0.29243012400084195,2
DOV,0.09366548769249125,0.09758361678180383,0.19069888085802442,0.1904523175622625,0.7512258952886115,0.4854236167425292,0
DPZ,0.08629143278523888,0.17276870004625033,0.27108742868888547,0.19297583029225085,0.6580201257112059,0.2700063633251627,0
DRI,0.08515500218909608,0.12561608400054486,0.20207620250068484,0.11246805301735949,0.6346603160509925,0.288230574540964,0
DTE,0.048141787312726975,0.007425148295001266,0.1304918969060734,0.09581675964322464,0.658889830252102,0.1446235816164324,0
DUK,0.040989361280760306,0.0,0.12662729812951806,0.10900245357460395,0.5946569000458207,0.13654988258942735,0
DVA,0.02385069604022491,0.21788473484070442,0.25219288066873413,0.4305824262864093,0.43293700395073187,0.39289245198110884,2
DVN,0.004760680437424558,0.3090276353450558,0.3896609114725804,0.5799331467417057,0.21233713417917754,0.6836306322603769,1
DXC,0.09007137540449295,0.3050402847087284,0.2758298750826472,0.7388281385297124,0.29612015142374787,0.7665146677145454,1
DXCM,0.22328492127810226,0.47940399047942084,0.44139079376065204,0.45676453124021343,0.7233837559988586,0.4594699078997706,1
EA,0.08254107531320251,0.22793866970530985,0.2995847908515695,0.47812939576790503,0.4938023792572341,0.49256957094028997,1
EBAY,0.053780542314299046,0.144630522298765,0.21522293434945208,0.4033628170399959,0.4638082310791408,0.42646384750270094,2
ECL,0.0771815802797384,0.02336890765946817,0.13622785247750388,0.058835815599146135,0.7429620971893842,0.34282270278185867,0
ED,0.04180469151077587,0.011093398075591593,0.12991231323630648,0.11773778882684521,0.5899984048118603,0.12823739260439176,0
